"时间","交易类型","交易对","方向","价格","数量","成交额","手续费"
2021-02-24 09:56:20,币币交易,BTC/USDT,卖出,49850.00,0.000108,5.38380000,0.01076760USDT,
2021-02-23 20:36:17,币币交易,BTC1S/USDT,买入,1.2252,4.5760,5.60652159,0.00915201BTC1S,
2021-02-23 20:32:37,币币交易,BTC/USDT,买入,45999.00,0.000304,13.98369600,0.00000060BTC,
